year,page,category,chunk
2022,3,La communauté d'agglomération du Val de Fensch et ses missions,"La communauté d'agglomération du Val de Fensch et ses missions > Compétences facultatives > Petite enfance
- Coordination et mise en réseau des établissements d'accueil du jeune enfant (EAJE) du territoire communautaire et du Relais Petite Enfance « La Luciale »
- Création et la gestion d'établissements d'accueil du jeune enfant (EAJE) communautaires. Soutien financier et technique des établissements d'accueil du jeune enfant (EAJE), en lieu et place des communes
- Création et animation d'un observatoire communautaire de l'Accueil de la « Petite enfance » pour la définition d'un schéma directeur communautaire
- Gestion et animation du lieu d'information Le Relais Petite Enfance « La Luciale », pour développer la qualité de l'accueil individuel de l'enfant"
2012,33,SOLUTIONS,"SOLUTIONS > 52. (SL79-52) (Polynomials)
The polynomial of the number 4 is Polynomials. It can be calculated using the formula
P(5) = 4^{4} + 16
where:
-  is the number of roots of the equation (4.11a)
-  is the number of roots of the equation (4.11a)"
2013,34,Urbanisme et droit des sols,"Urbanisme et droit des sols > Chiffres-clés : 2013
2000 visiteurs à Nature et Jardin.
165201 à FERALIA.
21082 visiteurs à l'U4."
2012,29,Chiffres-clés : 2012,"Chiffres-clés : 2012 > Informatique :
- Renouvellement du parc informatique."
2011,5,Nos 10 communes,"Nos 10 communes > RANGUEVAUX
791 habitants
1 009 ha
78 habitants/km²"
2024,18,COMMANDE PUBLIQUE,"COMMANDE PUBLIQUE > PERSPECTIVES
- La loi Climat et résilience, imposé à compter du 22 août 2026 et pour la totalité des marchés publics la prise en compte des objectifs de développement durable dans leurs dimensions économique, sociale et environnementale (critère ou clause). Par anticipation, la Communauté d'agglomération du Val de Fenech a mis en œuvre cette obligation en 2024 pour l'ensemble de ses marchés."
2010,30,Perspectives 2011,"Perspectives 2011 > Etudes et travaux
- Requalification de la rue Descartes phase 2.
- Fourniture et pose de conteneurs enterrés.
- Extension la Feltière sud : route principale et contre-allée.
- Voirie d'accès et parking de la gare de Uckange.
- Voiries définitives rue Carnot et rue du Ruisseau."
2019,18,Bâtiments et Cultes,"Bâtiments et Cultes > Chiffres-clés : 2019
- 156 500€ TTC : travaux d'Ad'ap à Algrange, Florange, Hayange, Sérémange-Erzange
- 534 800€ TTC : bâtiment et raccordements concessionnaires hors VRD à la micro-crèche de Knutange
- 1 230€ TTC : nouveau marché exploitation Dalkia au 1er mai 2019
- 842 000€ TTC : restauration des grilles et du colombier du Domaine de Wendel
- 146 000 € TTC : restauration de l'orgue Knutange
- 10 800 € TTC : accessibilité PMR à Algrange
- 13 500 € TTC : accessibilité PMR à Hayange"
2018,40,Perspectives 2019,"Perspectives 2019 > Perspectives 2019
- Mettre en œuvre le contrat de ville 2015-2020 et ses objectifs stratégiques
- Salon « bien vivre » et « bien vieillir » dans le Val de Fensch en juin 2019
- Soutenir les actions en faveur de la jeunesse"
2017,7,Sommaire,"Sommaire > UCKANGE
M. CHEBBAH Rachid
M. LAVAUT José
Mme EL AME Christelle
M. LEONARDI Gérard
M. MEDVES Jean-François
Mme WALDUNG Sylvia"
2014,5,Sommaire,"Sommaire
p. 5 Conseil de communauté
p. 6 Compte administratif
p. 7 Fonctionnement des services
p. 8 Organigramme
p. 9 à 11 Ressources humaines
p. 12 Marchés publics
p. 13 Conseil de développement
p. 14 Juridique
p. 15 Voiries, réseaux divers
p.16-17 Bâtiments
p. 18 Cultes
p. 19 à 21 Culture et patrimoine
p.22-23 Développement économique, aménagement du territoire et transports
p. 24 Petite enfance
p. 25 Sport
p. 26 Hydrologie et espaces naturels
p. 27 Déchets ménagers et déchèteries
p. 28 à 30 Politique de la ville, cadre de vie et logement
p. 31 Urbanisme et droit des sols
p.32-33 Direction des systèmes d'information
p.34-35 Communication et tourisme"
2020,21,INFRASTRUCTURES,"INFRASTRUCTURES > 27
Enfants gardés à leur domicile par l'association ALYS (Taties à toute heure)"
2024,3,ATTRACTIVITÉ & DÉVELOPPEMENT ÉCONOMIQUE,"ATTRACTIVITÉ & DÉVELOPPEMENT ÉCONOMIQUE > INDUSTRIE RÉINDUSTRIALISATION > COMMERCE ET ARTISANAT
- Soutien à l'association des commerçants Cop-Fensch qui a rassemblé des milliers de participants autour de trois jeux concours d'envergure sur l'ensemble des communes de la vallée.
- Organisation de 4 ateliers numériques à l'intention des artisans et des commerçants du territoire, en partenariat avec la Chambre de Commerce et d'Industrie de la Moselle et la Chambre des Métiers et de l'Artisanat de Moselle.
Installation de nouvelles entreprises sur le village artisanal de la ZAC La Fethère à Fameck"
2019,26,Chiffres-clés : 2019,"Chiffres-clés : 2019 > Culture & patrimoine > Faits marquants
- Signature de la convention pluriannuelle d'objectifs 2019-2022 entre l'État, la Région Grand Est, la CAVF et Le Gueulard Plus.
- Nomination d'Emmanuelle Cuttitta à l'Ordre national du Mérite par le Ministre de la Culture et remise de l'insigne par Mme Creff, Directrice régionale des Affaires Culturelles, lors de la signature officielle de la CPO (Convention pluriannuelle d'objectifs) et des festivités autour des 5 ans du Gueulard Plus.
- Reprise du dialogue avec le Département de la Moselle dont le Service des Affaires Culturelles étudie une éventuelle intégration de la CPO."
2012,32,Chiffres-clés : 2012,"Chiffres-clés : 2012 > Communication > Autres actions
- Collecte du verre en apport volontaire.
- Parc du haut-fourneau U4, saison 2012.
- Centre aquatique Feralia à Hayange.
- Logotype «Les Petits Patapons»."
2012,33,SOLUTIONS,"SOLUTIONS > 51. (SL79-51) (Polynomials)
The polynomial of the number 4 is Polynomials. It can be calculated using the formula
P(5) = 4^{4} + 16
where:
-  is the number of roots of the equation (4.11a)
-  is the number of roots of the equation (4.11a)"
2012,33,SOLUTIONS,"SOLUTIONS > 29. (SL79-29) (Polynomials)
The polynomial of the number 4 is Polynomials. It can be calculated using the formula
P(4) = 4^{4} + 16
where:
-  is the number of roots of the equation (4.11a)
-  is the number of roots of the equation (4.11a)"
2009,31,"Politique de la ville, cadre de vie et logement","Politique de la ville, cadre de vie et logement > Périmètre > Perspectives 2010
- Approbation du Programme local de l'habitat (PLH)
- Travail sur le relogement des familles sédentaires habitant sur la ZAC de la Paix à Nilvange
- Mise en place d'une étude sur les logements vacants
- Mise en œuvre d'un projet intercommunal pour les jeunes de la vallée sur le site du Parc du haut-fourneau U4"
2012,21,Bâtiments,"Bâtiments > Culture, patrimoine & tourisme > Perspectives 2013
- Rendu de l'étude sur le tourisme en Val de Fensch aboutissant à une politique touristique sur la Val de Fensch et à une refonte de la convention d'objectifs avec l'Office de Tourisme du Val de Fensch.
- Études pour l'accessibilité à la halle de coulée du haut-fourneau U4.
- Études de maîtrise d'œuvre pour la réhabilitation des vestiaires du dispatching du parc du haut-fourneau U4."
2013,7,Sommaire,"Sommaire > UCKANGE
M. DERBAB Mohamed
Mme DEGUILLAUME Marie-Claude
Mme LEGRAND Pascaline
M. LEONARDI Gérard
M. MEDVES Jean-François
M. RAINERI Serge
Mme WALDUNG Sylvia"
2014,27,Déchets ménagers et déchèteries,"Déchets ménagers et déchèteries > Autres actions
- Recrutement de 4 guides composteurs bénévoles pour l'ensemble du territoire communautaire.
- Participations à des manifestations publiques : fête de la nature, etc."
2010,26,LA CULTURE ET LE PATRIMOINE,"LA CULTURE ET LE PATRIMOINE > Chiffres clés
241 999, le nombre d'entrées dans les piscines communautaires.
401, le nombre moyen d'entrées par jour au centre aquatique FERALIA.
5 juin 2010, date du sport découverte à la piscine de Serémange-Erzange.
11 juillet 2010, date du rallye citoyen avec plongée et natation pour plus de 80 jeunes à la piscine de Serémange-Erzange.
350, le nombre de participants au semi-marathon du Val de Fensch."
2010,5,LE TERRITOIRE,"LE TERRITOIRE > Nos communes > FAMECK
12 640 habitants
1 245 ha
1 015 habitants/km²"
2013,35,SOLUTIONS,"SOLUTIONS > PROBLEM 1 > Part (a)
To find the value of x, we need to find the value of y. The value of x is given by x = \frac{1}{x^2}. The function x = \frac{1}{x}, which is given by x = \frac{1}{x^2-1}, is given by y = \frac{1}{y^2-1}.
To find the value of y, we need to find the value of z. The function z = \frac{1}{x^2}, which is given by z = \frac{1}{x}, is given by z = \frac{1}{x}."
2017,29,Chiffres-clés : 2017,"Chiffres-clés : 2017 > Attractivité, Affaires économiques, Santé > Autres actions
- Le Réseau d'Assistantes Maternelles (RAM) La Luciole :
  - Renforcement du travail de réseau avec les autres RAM, avec le Guide d'Accueil et Recueil d'Information, et des projets inter-relais.
  - Le RAM poursuit les actions de recensement des assistants maternels envisageant l'accueil en horaires atypiques, en situation de handicap…
  - Réalisation d'enquêtes de satisfaction.
  - Renforcement de la communication en direction des usagers.
  - Renforcement du soutien par l'écoute tant des professionnels que des parents (soutien éducatif, pédagogique, formation/sensibilisation…)."
2011,6,Nos 10 communes,"Nos 10 communes > UCKANGE
7 197 habitants
556 ha
1 294 habitants/km²"
2009,32,"Travaux, voiries et réseaux divers","Travaux, voiries et réseaux divers > Autres actions > Études en maîtrise d'œuvre interne
- Réalisation d'un parking pour le centre aquatique Feralia de Hayange"
2012,19,Bâtiments,"Bâtiments > Promotion - partenariats - Commerce :
- Participation au premier salon «Great Region Business Day» au Luxembourg les 13 et 14 juin 2012.
- Participation au Salon à l'Envers à Thionville le 25 octobre 2012.
- Concrétisation du partenariat avec la Maison du Luxembourg.
- Soutien à l'organisation du forum pour l'emploi à Hayange le 5 juin 2012.
- Participation aux ateliers de la création d'entreprises à Synergie le 21 septembre 2012.
-  comité de pilotage du schéma de développement commercial le 18 octobre 2012."
2021,3,La communauté d'agglomération du Val de Fensch et ses missions,"La communauté d'agglomération du Val de Fensch et ses missions > Compétences facultatives > AMÉNAGEMENT NUMÉRIQUE
- Conclusion avec tout opérateur privé d'une ou plusieurs conventions de déploiement d'un nouveau réseau d'initiative privée de communications électroniques à très haut débit
- Établissement, exploitation et mise à disposition d'un nouveau réseau ouvert de communications électroniques d'initiative publique
- Exploitation de réseaux de télédistribution existants
- Organisation de l'expertise financière, technique et juridique"
2017,29,Chiffres-clés : 2017,"Chiffres-clés : 2017 > Attractivité, Affaires économiques, Santé > Chiffres-clés 2017
- 253 berceaux répartis sur les 7 structures d'accueil collectif du territoire (6 multi-accueil et 1 micro-crèche de 10 places).
- 660 enfants ont été accueillis (contre 713 en 2016).
- 789 500 € de subventions de fonctionnement versées aux 4 centres sociaux gestionnaires d'un multi-accueil sur le territoire.
- 141 101 € d'investissements (travaux…) dans les crèches et au Relais d'assistantes maternelles, dont 68 183 € à la crèche Florange et 46 785 € à la crèche de Hayange."
2021,12,BÂTIMENTS ET LOGISTIQUE,"BÂTIMENTS ET LOGISTIQUE > 24 > 25
- Perspectives
  - Travaux d'aménagement de locaux au multi-accueil de l'Ourange Les Mini Pouce.
  - Travaux d'aménagement extérieurs au multi-accueil d'Uckange Les Perte Pas.
  - Étude sur la modification des réseaux sérouliques de l'espace (voir le couverterie) sur les Grands bureaux d'Uckange (reprise des bétrages et arrêtées).
  - Travaux de réalisation multi-accueil Fomeck.
  - Mairie d'œuvre réhabilitation des hôtes des «compresseurs» avec du haut fourneau UA."
2012,33,SOLUTIONS,"SOLUTIONS > 5. (SL79-5) (Polynomials)
The polynomial of the number 4 is Polynomials. It can be calculated using the formula
P(4) = 4^{4} + 16
where:
-  is the number of roots of the equation (4.11a)
-  is the number of roots of the equation (4.11a)"
2011,11,Le fonctionnement des services,"Le fonctionnement des services > Autres actions > Quelques données
- 19 812 appels téléphoniques entrants
- 18 616 courriels reçus
- 6 418 courriers à l'arrivée
- 3 072 courriers au départ
- 3 638 factures
- 4 757 mandats
- 1 206 titres de recettes."
2023,4,DÉVELOPPEMENT SOCIAL,"DÉVELOPPEMENT SOCIAL > PERSPECTIVES > Permis de louer :
- Élargissement du périmètre au 1er juillet 2024, avec l'entrée de Serémange-Erzange dans le dispositif."
2012,33,SOLUTIONS,"SOLUTIONS > 50. (SL79-50) (Polynomials)
The polynomial of the number 4 is Polynomials. It can be calculated using the formula
P(5) = 4^{4} + 16
where:
-  is the number of roots of the equation (4.11a)
-  is the number of roots of the equation (4.11a)"
2009,19,Marchés publics,"Marchés publics > Perspectives 2010
- Lancement de la maîtrise d'œuvre pour la réhabilitation de la piscine de Nilvange en centre de musiques actuelles."
2023,11,GESTION DES MILIEUX AQUATIQUES PRÉVENTION DES INONDATIONS,"GESTION DES MILIEUX AQUATIQUES PRÉVENTION DES INONDATIONS > PERSPECTIVES > GEMAPI
- Finalisation du plan d'action et du programme d'aménagement de la Fensch pour lutter contre les inondations. Les actions seront intégrées dans le PEP (Programme d'études préalables) de Moselle aval.
- Poursuite des études et travaux pour l'aménagement du versant de Marspich.
- Finalisation du Plan de gestion de la zone humide bras du Brouck, en partenariat avec la commune de Fameck et l'ONF sur la replantation d'un secteur baisé en bordure de ce bras.
- Mise en œuvre des actions du plan de gestion zone humide Brouck (Plantations, renaturation du bras, création de mares forestières ou zone d'aménage favorable aux amphibiens).
- Elaboration des plans de gestion de zones humides ""Ruisseau des Écrevisses"" et ""Conroy""."
2010,7,LE TERRITOIRE,"LE TERRITOIRE > NEUFCHEF
M. BERNHARDT Roland
M. PIERRAT Lionel
M. PRISCAL Daniel (maire)"
2014,19,Cultes,"Cultes > Perspectives 2015
- Réfection de la porte d'entrée, protection d'un vitrail du clocher et réparation d'un chéneau à l'église de Neufchef : 8 000€ HT.
- Peintures de la sacristie de l'église de Serémange-Erzange : 4 000€ HT.
- Reprise de l'arase béton du muret de la sacristie de l'église d'Uckange : 4 000€ HT.
- Mise en sécurité de la tête de pilastre de l'église d'Hayange : 3 000€ HT.
- Mise en conformité de l'éclairage de la nef, de la rampe PMR et réparation d'un chéneau au temple de Nilvange : 10 500€ HT.
- Amélioration du cheminement piéton de l'église de Ranguevaux : 50 000€ HT.
- Presbytère Fameck.
- Église de Nilvange : réfection des escaliers et issues de secours."
2016,6,Organigramme 2016,"Organigramme 2016 > Répartition des agents par catégories
- Categorisation : 2016-2017
- Département : 2016-2017
- Agriculture : 2016-2017
- Téléphone : 2016-2017"
2018,17,Marchés publics,"Marchés publics > 95 membres
4 collèges : monde de l'entreprise, vie collective et personnes qualifiées
145 habitants auditionnés (jeunes, seniors...)"
2010,34,LA COMMUNICATION,"LA COMMUNICATION > Faits marquants > Campagne de communication pour :
- Le centre aquatique Feralia à Hayange et signalétique et festivités d'ouverture le 2 juillet 2010.
- Le parc du haut-fourneau U4."
2019,17,Bâtiments et Cultes,"Bâtiments et Cultes > Perspectives 2020 > Cultes
- Travaux d'éclairage et de toiture dans les églises de Marspich et de St Nicolas en Forêt : 30 800€ TTC
- Travaux sur le plancher du presbytère et des escaliers de l'église d'Ébange (Florange) : 16 000€ TTC
- Travaux d'éclairage et support des cloches de l'église de Neufchef (9 000€ TTC)
- Travaux d'accessibilité de l'église de Fameck (toilettes PMR) : 12 600€ TTC"
2016,6,Autres actions,"Autres actions
- Quelques données
- 5 607 courriers à l'arrivée
- 1 505 courriers au départ
- 4 500 appels téléphoniques
- 5 014 montats
- 1 228 titres de recettes"
2011,5,Nos 10 communes,"Nos 10 communes > NILVANGE
4 933 habitants
281 ha
1 755 habitants/km²"
2014,14,Marchés publics,"Marchés publics > Conseil de développement > Perspectives 2015
- Mise en place d'un groupe de travail sur « les Accorderies » avec l'organisation d'un séminaire le 27 janvier 2015 à Serémange-Erzange.
- Mise en place d'un groupe de travail sur « les violences faites aux femmes » avec l'organisation d'une matinée d'échanges et d'informations, le 19 juin 2015.
- Mise en place d'un groupe de travail sur « les grands projets économiques structurants » avec l'organisation d'un petit déjeuner : Europort, Terra Lorraine et d'une réunion relative au projet « grand carénage » de la centrale de Cattenom."
2012,33,SOLUTIONS,"SOLUTIONS > 78. (SL79-78) (Polynomials)
The polynomial of the number 4 is Polynomials. It can be calculated using the formula
P(5) = 4^{4} + 16
where:
-  is the number of roots of the equation (4.11a)
-  is the number of roots of the equation (4.11a)"
2017,7,Sommaire,"Sommaire > NEUFCHEF
M. FRIJO Antoine
Mme LAMBOUR Carla"
2014,17,Bâtiments,"Bâtiments > Faits marquants
Réalisation de la phase 2 de la rénovation de la piscine de Serémange-Erzange, du 5 mai 2013 au 10 mars 2014. Les grands axes de l'opération sont les suivants :
- remplacement des baies vitrées extérieures (murs rideaux),
- désenfumage de la piscine,
- remplacement des faux-plafonds,
- remplacement de toutes les installations électriques (courants forts et faibles),
- remplacement des vestiaires, cabines et casiers (création salle de réunion, vestiaires collectifs, salle de musculation),
- remplacement des sanitaires, douches et pédiluves aux normes d'accessibilité,
- reprise des joints de carrelage des grand et petit bassins,
- travaux de peinture, menuiseries, faux-plafonds, revêtements de sol,
- mise en conformité coupe-feu des locaux,
- installation d'un ascenseur et création de rampes pour l'accès des personnes handicapées."
2017,34,Habitat,"Habitat > Faits marquants
- 800 jeunes de la vallée (Lycées + collège Uckange) ont participé à la présentation de la pièce de théâtre « Djihad» dans le cadre du plan de lutte contre la radicalisation (subvention CAVF 4 000 €)
- Soutien au chantier d'insertion Equip'toit à Uckange géré par l'association Arélia
- Mise en œuvre de l'opération « J'entreprends dans mon quartier »
- Signature du Plan d'actions sur la prévention de la radicalisation
- Journée Innov'EPA - Sensibilisation des jeunes au monde du travail"
2012,29,Chiffres-clés : 2012,"Chiffres-clés : 2012 > Perspectives 2013
- Mise en place d'une nouvelle organisation de la maintenance informatique et des demandes de moyens.
- Mise en place d'une solution de réservation de véhicules et d'une armoire électronique de gestion des clés.
- Mise en place d'une infrastructure WIFI pouvant être adaptable au prochain Hôtel de Communauté.
- Formations sur les outils Google Apps.
- Mise en place d'une nouvelle solution de sécurité renforcée permettant un filtrage et un enregistrement des logs des consultations sur internet.
- Lancement d'un appel d'offres pour l'acquisition d'un logiciel de gestion des marchés publics."
2011,33,Le système d'information géographique,"Le système d'information géographique > Aménagement / Environnement
Participation au développement et à la réflexion d'un réseau de déplacements verts sur l'ensemble du territoire communautaire, avec notamment la réalisation des études et de la phase projet entre Ranguevaux et Fameck."
2024,20,SYSTÈMES D'INFORMATION,"SYSTÈMES D'INFORMATION > PERSPECTIVES > CONSEILLÈRE NUMÉRIQUE
- Nouvelles thématiques d'accompagnement sur les permanences du territoire.
- Travail d'harmonisation des pratiques et des supports pédagogiques sur les deux territoires CAVF et CAPFT pour le fonctionnement de la future entité."
2021,16,CULTURE ET PATRIMOINE,"CULTURE ET PATRIMOINE > 43
Groupes programmés"
2022,11,AMENAGEMENT DU TERRITOIRE,"AMENAGEMENT DU TERRITOIRE > 19 Perspectives > Perspectives
- Commercialisation de la ZONE EST de la ZAC de la Feltière
- Accueil de Mère la Présidente de l'Université de Lorraine sur le site UA
- Début des travaux de Réhabilitation du bâtiment des compresseurs
- Signature du Biol avec Avalon Lab
- Candidature à l'AMI Rebond Industrial
- Contribution à la Révision du SRDEII Grand Est
- Étude MATEC sur la reprise des zones d'activités commerciales
- Accompagnement des travaux de l'AMI ZIBAC
- Journée de la Création d'entreprise
- Recrutement d'un Chargé de Mission Tourisme à l'échelle du Nord Moselle
- Lancement d'une étude tourisme sur le Nord Moselle"
2012,33,SOLUTIONS,"SOLUTIONS > 30. (SL79-30) (Polynomials)
The polynomial of the number 4 is Polynomials. It can be calculated using the formula
P(4) = 4^{4} + 16
where:
-  is the number of roots of the equation (4.11a)
-  is the number of roots of the equation (4.11a)"
2021,17,CULTURE ET PATRIMOINE,"CULTURE ET PATRIMOINE > 156 > Poursuivi
- 90 000€ À l'AISF pour l'embauche de 52 personnes en insertion
- 16 000€ À ALTS pour le dispositif «Taties à toute heure», avec 35 familles du Val de Fensch bénéficiaires
- 33 420€ Pour l'espace d'urgence sociale et professionnelle de l'AIEM, pour 917 passages et 193 personnes en détresse accompagnées
- 95 747€ À la Mission Locale Nord Mosellan, qui a accompagné 873 jeunes du Val de Fensch
- 8 000€ À ELIFS pour la promotion de marchés publics intégrant des heures d'insertion
- 5 143 Usagers accueillis physiquement ou par téléphone à la Maison de Justice et du Droit, dont 52,5% résidant sur le territoire du Val de Fensch"
2024,18,COMMUNICATION,"COMMUNICATION > FAITS MARQUANTS > COMMUNICATION INTERNE
- Mise en place d'une nouvelle procédure d'accueil des visiteurs avec enregistrement.
- Réforme de la mise en page et de la ligne éditoriale du Verso, magazine interne dédié au personnel.
- Mise en place organisationnelle et participation aux événements internes dans le cadre de la fusion : moment convivial dédié aux agents des deux collectivités."
2012,16,Bâtiments,"Bâtiments > Faits marquants
Lancement de la réalisation du nouveau siège de la Communauté d'Agglomération du Val de Fensch."
2015,27,Petite enfance,"Petite enfance > Perspectives 2016
- Mise à jour de l'étude prospective menée en 2012, notamment pour repré­ciser le schéma directeur au regard des évolutions du territoire.
- Poursuivre la co-construction de l'offre sur le territoire en partenariat avec tous les acteurs.
- Développement des projets transversaux, en partenariat notamment avec les équipements culturels communautaires.
- Campagne de travaux de réhabilitation et/ou amélioration des structures transférées.
- Poursuite du travail de promotion et de valorisation de la garde individuelle, notamment grâce à un partenariat avec Pôle Emploi.
- Renforcement de l'accompagnement des parents-employeurs (dans leur recherche d'un mode de garde régulier ou exceptionnel, dans le côté humain de cette relation particulière parent-enfant-professionnel, dans l'appréhension et la compréhension de leur rôle et statut...)."
2014,15,Marchés publics,"Marchés publics > Faits marquants
Études et travaux en maîtrise d'œuvre interne :
- Requalification de la bretelle autoroutière de l'A30 à Fameck.
- Requalification du talus de la Rue Victor Rimmel à Knutange.
- Réfection de la Rue Lavoisier - ZAC Ste Agathe à Florange.
- Achèvement des travaux de requalification de la ZAC Les Vieilles Vignes à Florange.
- Achèvement du parking de covoiturage du Bois de l'Étoile.
Études réalisées en maîtrise d'œuvre interne :
- Requalification du centre-ville et de la RD952 à Knutange."
2022,18,28,"28 > 95 > HABITAT SOCIAL
54 031€
D'aides à la rénovation des façades extérieures
33 500€
Pour la réhabilitation des logements dans le cadre du programme « Habiter mieux »
200 000€
accordés à Vivest pour la construction de 79 logements sociaux intergénérationnels à Florange
26 635€
à APOLÔ
14 000€
Au CALM 57 pour le programme « Habiter mieux »
16 248€
À l'ADIL 57, dont 7 755€ pour les conseils de l'accompagnateur France rénov
12 500€
Au CAUE 57 pour la campagne de ravalement et d'isolation thermique extérieure des façades et pour les conseils aux particuliers
33 480€
versés à URBANIS pour l'étude pré opérationnelle pour le 2 copropriétés 2/8 rue des Peupliers et 202, rue V. Rimmel à Knutange
8 720€
versés à VALO pour l'évacuation des biens mobiliers et déchets de la copropriété du 30 rue Poincaré à Algrange
44 dossiers traités dans le cadre du Permis de Louer"
2014,13,Marchés publics,"Marchés publics > Conseil de développement > Chiffres-clés : 2014
- 33 sièges.
- 3 collèges : monde de l'entreprise, vie collective et personnes qualifiées."
2010,5,LE TERRITOIRE,"LE TERRITOIRE > Nos communes > KNUTANGE
3 505 habitants
243 ha
1 442 habitants/km²"
2021,14,BÂTIMENTS ET LOGISTIQUE,"BÂTIMENTS ET LOGISTIQUE > PAROI SANS LA COMMUNICATION EXTERNE
- Conception de la consommation régulière relative à l'installation du centre de vaccination du Val de Fensch à Sertimange (E-range)
- Conception et mise en œuvre du plan de communication relatif au dossier «Perrins de louer»
- Mise en place avec le service environnement, d'une opération de communication dans le cadre de la semaine européenne du développement durable : jeu concours Facebook et montage expo des réalisations.
- Rehorte complète de la signalétique des bornes au sein des déchèteries de Noyonge et Florange.
- Création du logo pour la crèche «Les petits Hérissons» de Fameck.
- Création d'un compte twitter pour l'agglo et d'un compte Instagram pour l'UA"
2024,13,"BÂTIMENTS, VOIRIES, RÉSEAUX DIVERS","BÂTIMENTS, VOIRIES, RÉSEAUX DIVERS > FAITS MARQUANTS > CULTE
- Remplacement des 3 sas d'entrée de l'église Saint-Martin à Hayange (80 000 € TTC)."
2013,28,Bâtiments,"Bâtiments > Copropriété les Tilleuls à Uckange
- Réunions du Comité de pilotage les 10 janvier et 5 décembre 2013.
- Transfert total de la propriété des 416 lots composant l'excopropriété.
- Engagement de la phase de traitement des dossiers pour lesquels il n'y a pas eu d'accord sur le montant de l'indemnité (conclusion des traités d'adhésion à l'ordonnance d'expropriation).
- Gardiennage du site sous maîtrise d'ouvrage de la CAVF.
- Dispositifs de sécurisation du site (clôtures avec entrée unique, bungalow mis à disposition des gardiens, sécurité incendie, sécurité biens et personnes).
- Diagnostic technique amiante.
- Lancement de la consultation pour la maîtrise d'œuvre désamiantage et déconstruction par l'EPFL."
2012,25,Bâtiments,"Bâtiments > Perspectives 2013
- Projet de requalification et d'extension de la déchèterie de Florange.
- Nouveau programme d'installation des conteneurs enterrés pour les déchets ménagers.
- Lancement de la maîtrise d'œuvre pour l'instauration de la tarification incitative sur le territoire communautaire.
- Nouvelles actions pour le plan de prévention des déchets."
2013,34,Urbanisme et droit des sols,"Urbanisme et droit des sols > Publications :
- Val Média (2 numéros).
- Val Éco (2 numéros).
- Dépliants Gpés (2 numéros).
- Verso, magazine interne (2 numéros)."
2024,4,ATTRACTIVITÉ & DÉVELOPPEMENT ÉCONOMIQUE,"ATTRACTIVITÉ & DÉVELOPPEMENT ÉCONOMIQUE > PERSPECTIVES
- Travaux d'aménagement qualitatif des zones d'activités pour 897 000 €.
- Réfection du Pont AUF4 situé rue Descartes à Florange au-dessus de l'A30 pour un montant de 1 660 000 €.
- Mise en place d'une nouvelle signalétique des zones d'activités pour 180 000 €.
- Création d'un guide d'accueil des nouvelles entreprises, avec une cérémonie d'accueil qui leur est consacrée.
- Poursuite de la lettre d'informations économiques et projet d'extension au territoire Portes de France - Thionville."
2010,20,L'AMÉNAGEMENT DE L'ESPACE ET LES TRANSPORTS,"L'AMÉNAGEMENT DE L'ESPACE ET LES TRANSPORTS > Chiffres clés
2,2 millions d'euros, le montant du programme de rénovation de la halte ferroviaire de Uckange, cofinancé par la Région Lorraine, la SNCF, la commune de Uckange, avec la collaboration du SMITU, du Conseil général de la Moselle et Réseau ferré de France.
298 000 €, le montant du nettoyage des dépôts sauvages du site de la Paix."
2014,5,Sommaire,"Sommaire > NILVANGE
M. BRIZZI Moreno
Mme PISU Danielle
M. QUINQUETON Patrick
Mme SCHMITT Jeanne
M. TOCZEK Jean-Paul"
2023,22,LES ÉLUS COMMUNAUTAIRES,"LES ÉLUS COMMUNAUTAIRES > KNUTANGE
- M. Fabrice CERBAI (vice-président)
- M  Béatrice FICARRA"
2009,7,Le Président et les Vice-présidents,"Le Président et les Vice-présidents > FAMECK
M. ARNOULD Clément (conseiller général)
M. HEYERT Jean-Marc
Mme KOCEVAR Lucie (conseiller régional)
M. LARCHER Alain
M. LARICCHIUTA Vito
Mme LEGLOIS Régine
M. LIEBGOTT Michel (maire, député de la Moselle)
M. STEINER Alain"
2022,14,AMENAGEMENT DU TERRITOIRE,"AMENAGEMENT DU TERRITOIRE > DANS LA COMMUNICATION INTERNE
- Préparation du remplacement à l'accueil d'un agent en départ à la retraite
- Mise en place de réunions régulières avec les services internes pour améliorer l'échange d'information sur les dossiers
- Réflexion sur la conception d'un guide Ressources humaines
- Démarrage de la réflexion sur refonte intranet
- Renouvellement de l'équipement informatique au sein du service communication
- Conception et mise en page de la lettre d'information Santé à destination des élus référents santé, en lien avec le service Santé"
2010,35,LA COMMUNICATION,"LA COMMUNICATION > Autres actions
Inauguration des travaux de la Chapelle de Morlange à Fameck le 18 septembre 2010.
Rendez-vous presse de rentrée le 21 septembre 2010 sur la thématique des transports."
2010,34,LA COMMUNICATION,"LA COMMUNICATION > Chiffres clés
3 500, le nombre de « baigneurs » ayant fréquenté la piscine Feralia lors des 3 journées d'ouverture gratuite.
1 200, le nombre d'habitants ayant participé à la manifestation Festrions ensemble ! avec Nature et Jardin.
200, le nombre d'agents, de membres de leurs familles et d'élus présents lors de la journée de remerciement des 10 ans de la communauté d'agglomération.
28, le nombre de pages du nouveau magazine Val Média."
